Ubigeo;Departamento;Provincia;Distrito;Casos
010101;Amazonas; Chachapoyas; Chachapoyas;35868
010102;Amazonas; Chachapoyas; Asunción;283
010103;Amazonas; Chachapoyas; Balsas;1233
010104;Amazonas; Chachapoyas; Cheto;682
010105;Amazonas; Chachapoyas; Chiliquin;628
010106;Amazonas; Chachapoyas; Chuquibamba;1979
010107;Amazonas; Chachapoyas; Granada;518
010108;Amazonas; Chachapoyas; Huancas;1286
010109;Amazonas; Chachapoyas; La Jalca;4253
010110;Amazonas; Chachapoyas; Leimebamba;3871
010111;Amazonas; Chachapoyas; Levanto;838
010112;Amazonas; Chachapoyas; Magdalena;913
010113;Amazonas; Chachapoyas; Mariscal Castilla;1454
010114;Amazonas; Chachapoyas; Molinopampa;2335
010115;Amazonas; Chachapoyas; Montevideo;528
010116;Amazonas; Chachapoyas; Olleros;419
010117;Amazonas; Chachapoyas; Quinjalca;828
010118;Amazonas; Chachapoyas; San Francisco de Daguas;321
010119;Amazonas; Chachapoyas; San Isidro de Maino;613
010120;Amazonas; Chachapoyas; Soloco;1301
010121;Amazonas; Chachapoyas; Sonche;268
010201;Amazonas; Bagua; Bagua;28836
010202;Amazonas; Bagua; Aramango;10487
010203;Amazonas; Bagua; Copallin;4972
010204;Amazonas; Bagua; El Parco;1293
010205;Amazonas; Bagua; Imaza;29852
010206;Amazonas; Bagua; La Peca;6753
010301;Amazonas; Bongara; Jumbilla;1385
010302;Amazonas; Bongara; Chisquilla;324
010303;Amazonas; Bongara; Churuja;297
010304;Amazonas; Bongara; Corosha;805
010305;Amazonas; Bongara; Cuispes;708
010306;Amazonas; Bongara; Florida;6395
010307;Amazonas; Bongara; Jazan;8059
010308;Amazonas; Bongara; Recta;221
010309;Amazonas; Bongara; San Carlos;509
010310;Amazonas; Bongara; Shipasbamba;1614
010311;Amazonas; Bongara; Valera;917
010312;Amazonas; Bongara; Yambrasbamba;5851
010401;Amazonas; Condorcanqui; Nieva;21324
010402;Amazonas; Condorcanqui; El Cenepa;11658
010403;Amazonas; Condorcanqui; Rio Santiago;16818
010501;Amazonas; Luya; Lamud;2382
010502;Amazonas; Luya; Camporredondo;7237
010503;Amazonas; Luya; Cocabamba;2095
010504;Amazonas; Luya; Colcamar;2035
010505;Amazonas; Luya; Conila;1957
010506;Amazonas; Luya; Inguilpata;526
010507;Amazonas; Luya; Longuita;901
010508;Amazonas; Luya; Lonya Chico;900
010509;Amazonas; Luya; Luya;4156
010510;Amazonas; Luya; Luya Viejo;409
010511;Amazonas; Luya; María;796
010512;Amazonas; Luya; Ocalli;3902
010513;Amazonas; Luya; Ocumal;3746
010514;Amazonas; Luya; Pisuquia;5175
010515;Amazonas; Luya; Providencia;1408
010516;Amazonas; Luya; San Cristobal;584
010517;Amazonas; Luya; San Francisco del Yeso;748
010518;Amazonas; Luya; San Jerónimo;682
010519;Amazonas; Luya; San Juan de Lopecancha;459
010520;Amazonas; Luya; Santa Catalina;2057
010521;Amazonas; Luya; Santo Tomas;3207
010522;Amazonas; Luya; Tingo;1348
010523;Amazonas; Luya; Trita;1430
010601;Amazonas; Rodríguez de Mendoza; San Nicolás;6204
010602;Amazonas; Rodríguez de Mendoza; Chirimoto;2659
010603;Amazonas; Rodríguez de Mendoza; Cochamal;624
010604;Amazonas; Rodríguez de Mendoza; Huambo;2801
010605;Amazonas; Rodríguez de Mendoza; Limabamba;2504
010606;Amazonas; Rodríguez de Mendoza; Longar;1710
010607;Amazonas; Rodríguez de Mendoza; Mariscal Benavides;1568
010608;Amazonas; Rodríguez de Mendoza; Milpuc;469
010609;Amazonas; Rodríguez de Mendoza; Omia;9458
010610;Amazonas; Rodríguez de Mendoza; Santa Rosa;539
010611;Amazonas; Rodríguez de Mendoza; Totora;295
010612;Amazonas; Rodríguez de Mendoza; Vista Alegre;3299
010701;Amazonas; Utcubamba; Bagua Grande;55764
010702;Amazonas; Utcubamba; Cajaruro;25104
010703;Amazonas; Utcubamba; Cumba;8868
010704;Amazonas; Utcubamba; El Milagro;6386
010705;Amazonas; Utcubamba; Jamalca;7319
010706;Amazonas; Utcubamba; Lonya Grande;10937
010707;Amazonas; Utcubamba; Yamon;3220
020101;Áncash; Huaraz; Huaraz;65005
020102;Áncash; Huaraz; Cochabamba;1745
020103;Áncash; Huaraz; Colcabamba;324
020104;Áncash; Huaraz; Huanchay;1737
020105;Áncash; Huaraz; Independencia;80610
020106;Áncash; Huaraz; Jangas;4971
020107;Áncash; Huaraz; La Libertad;1131
020108;Áncash; Huaraz; Olleros;2496
020109;Áncash; Huaraz; Pampas Grande;1044
020110;Áncash; Huaraz; Pariacoto;4990
020111;Áncash; Huaraz; Pira;3522
020112;Áncash; Huaraz; Tarica;6959
020201;Áncash; Aija; Aija;2130
020202;Áncash; Aija; Coris;1719
020203;Áncash; Aija; Huacllan;388
020204;Áncash; Aija; La Merced;1650
020205;Áncash; Aija; Succha;752
