ubigeo,departamento,provincia,distrito,grupo_etario,nPositivos,nFallecidos,nHabitantes,infectadosPCP,muertesPCP,tasa_fatalidad
200104,PIURA,PIURA,CASTILLA,3,248.0,33.0,29871.0,8.30236684409628,1.1047504268353923,13.306451612903224
140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,5,96.0,32.0,11596.0,8.278716798896172,2.7595722662987234,33.33333333333333
140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,4,170.0,31.0,16259.0,10.455747585952395,1.9066363244972016,18.235294117647058
140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,3,651.0,29.0,58194.0,11.186720280441282,0.49833316149431217,4.45468509984639
150135,LIMA,LIMA,SAN MARTÍN DE PORRES,5,216.0,26.0,23971.0,9.010888156522466,1.084643944766593,12.037037037037036
150101,LIMA,LIMA,LIMA,4,421.0,26.0,18624.0,22.605240549828178,1.3960481099656357,6.175771971496437
21801,ÁNCASH,SANTA,CHIMBOTE,3,388.0,24.0,44952.0,8.631429079907457,0.5339028296849972,6.185567010309279
200101,PIURA,PIURA,PIURA,5,63.0,24.0,6101.0,10.326176036715294,3.933781347320112,38.095238095238095
200104,PIURA,PIURA,CASTILLA,4,70.0,24.0,6270.0,11.164274322169058,3.827751196172249,34.285714285714285
150110,LIMA,LIMA,COMAS,3,1242.0,24.0,108365.0,11.461265168643013,0.22147372306556545,1.932367149758454
200104,PIURA,PIURA,CASTILLA,5,34.0,23.0,4523.0,7.517134645147026,5.085120495246517,67.64705882352942
150135,LIMA,LIMA,SAN MARTÍN DE PORRES,4,366.0,21.0,34409.0,10.636752012554854,0.6103054433433114,5.737704918032787
150135,LIMA,LIMA,SAN MARTÍN DE PORRES,3,1669.0,21.0,148363.0,11.249435506157196,0.1415447247629126,1.2582384661473938
200101,PIURA,PIURA,PIURA,3,288.0,21.0,34895.0,8.253331422839947,0.6018054162487463,7.291666666666667
150101,LIMA,LIMA,LIMA,5,332.0,21.0,15962.0,20.79939857160757,1.315624608445057,6.325301204819277
150110,LIMA,LIMA,COMAS,4,278.0,20.0,30450.0,9.129720853858785,0.6568144499178982,7.194244604316546
150101,LIMA,LIMA,LIMA,3,1625.0,20.0,63387.0,25.636171454714688,0.3155221102118731,1.2307692307692308
150103,LIMA,LIMA,ATE,3,1284.0,18.0,108396.0,11.845455551865383,0.16605778811026237,1.4018691588785046
150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO,5,244.0,18.0,23832.0,10.238335011748909,0.7552870090634441,7.377049180327869
140105,LAMBAYEQUE,CHICLAYO,JOSÉ LEONARDO ORTIZ,3,359.0,18.0,30033.0,11.953517797089868,0.5993407252022775,5.013927576601671
150111,LIMA,LIMA,EL AGUSTINO,3,1110.0,18.0,40419.0,27.462332071550506,0.44533511467379205,1.6216216216216217
250101,UCAYALI,CORONEL PORTILLO,CALLERIA,3,435.0,17.0,28679.0,15.167892883294396,0.5927682276229994,3.9080459770114944
150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO,4,475.0,17.0,44380.0,10.703019378098244,0.3830554303740424,3.578947368421052
21801,ÁNCASH,SANTA,CHIMBOTE,4,77.0,16.0,12842.0,5.995950786481856,1.2459118517364896,20.77922077922078
150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO,3,2018.0,15.0,195790.0,10.306961540425966,0.0766126972776955,0.7433102081268582
200115,PIURA,PIURA,VEINTISEIS DE OCTUBRE,5,23.0,15.0,4265.0,5.392731535756155,3.5169988276670576,
200101,PIURA,PIURA,PIURA,4,83.0,14.0,8841.0,9.388078271688723,1.5835312747426762,16.867469879518072
200601,PIURA,SULLANA,SULLANA,3,205.0,13.0,33911.0,6.045236059095869,0.38335643301583555,6.341463414634147
200115,PIURA,PIURA,VEINTISEIS DE OCTUBRE,3,152.0,13.0,29826.0,5.096224770334608,0.43586132904177566,8.552631578947368
200401,PIURA,MORROPÓN,CHULUCANAS,5,13.0,12.0,3377.0,3.8495706248149246,3.553449807521469,
140105,LAMBAYEQUE,CHICLAYO,JOSÉ LEONARDO ORTIZ,5,65.0,12.0,4892.0,13.286999182338512,2.4529844644317254,18.461538461538463
150128,LIMA,LIMA,RÍMAC,3,632.0,12.0,38865.0,16.26141772803293,0.3087610961018912,1.89873417721519
200601,PIURA,SULLANA,SULLANA,4,66.0,11.0,7603.0,8.680783901091674,1.4467973168486123,16.666666666666664
110201,ICA,CHINCHA,CHINCHA ALTA,5,23.0,11.0,2553.0,9.00900900900901,4.308656482569526,
150110,LIMA,LIMA,COMAS,5,164.0,11.0,19752.0,8.302956662616445,0.5569056298096395,6.707317073170732
150137,LIMA,LIMA,SANTA ANITA,3,784.0,10.0,36405.0,21.535503364922402,0.2746875429199286,1.2755102040816326
140105,LAMBAYEQUE,CHICLAYO,JOSÉ LEONARDO ORTIZ,4,81.0,10.0,7254.0,11.166253101736972,1.3785497656465397,12.345679012345679
150117,LIMA,LIMA,LOS OLIVOS,3,655.0,10.0,69845.0,9.377908225356146,0.14317417137948316,1.5267175572519083
150112,LIMA,LIMA,INDEPENDENCIA,3,507.0,9.0,44916.0,11.287737109270639,0.20037403152551428,1.7751479289940828
200115,PIURA,PIURA,VEINTISEIS DE OCTUBRE,2,185.0,9.0,66992.0,2.761523764031526,0.13434439933126344,4.864864864864865
150128,LIMA,LIMA,RÍMAC,5,119.0,9.0,8827.0,13.481363996827914,1.0195989577432878,7.563025210084033
150103,LIMA,LIMA,ATE,4,279.0,9.0,23163.0,12.045071881880585,0.38855070586711565,3.225806451612903
140108,LAMBAYEQUE,CHICLAYO,MONSEFU,3,101.0,9.0,6329.0,15.958287249170484,1.4220255964607362,8.91089108910891
200501,PIURA,PAITA,PAITA,3,85.0,9.0,14609.0,5.818331165719762,0.6160585940173866,10.588235294117647
21801,ÁNCASH,SANTA,CHIMBOTE,5,91.0,9.0,10354.0,8.78887386517288,0.8692292833687464,9.89010989010989
110201,ICA,CHINCHA,CHINCHA ALTA,3,124.0,8.0,12760.0,9.717868338557993,0.6269592476489029,6.451612903225806
110201,ICA,CHINCHA,CHINCHA ALTA,4,44.0,8.0,3780.0,11.64021164021164,2.1164021164021167,18.181818181818183
150128,LIMA,LIMA,RÍMAC,4,148.0,8.0,11078.0,13.35981224047662,0.7221520129987362,5.405405405405405
150133,LIMA,LIMA,SAN JUAN DE MIRAFLORES,3,904.0,8.0,81876.0,11.041086521080658,0.09770873027505007,0.8849557522123894
150115,LIMA,LIMA,LA VICTORIA,4,258.0,8.0,11413.0,22.605800403049155,0.7009550512573381,3.10077519379845
150106,LIMA,LIMA,CARABAYLLO,3,448.0,8.0,60086.0,7.455979762340645,0.13314249575608295,1.7857142857142856
150135,LIMA,LIMA,SAN MARTÍN DE PORRES,2,2095.0,8.0,290684.0,7.20713902381968,0.027521294601698065,0.3818615751789976
250101,UCAYALI,CORONEL PORTILLO,CALLERIA,4,99.0,8.0,6783.0,14.5953118089341,1.1794191360754829,8.080808080808081
150140,LIMA,LIMA,SANTIAGO DE SURCO,5,94.0,8.0,22404.0,4.195679342974469,0.35707909301910373,8.51063829787234
200601,PIURA,SULLANA,SULLANA,5,37.0,8.0,5360.0,6.902985074626866,1.492537313432836,21.62162162162162
150111,LIMA,LIMA,EL AGUSTINO,4,338.0,7.0,9132.0,37.01270258431888,0.7665352606219886,2.0710059171597637
200105,PIURA,PIURA,CATACAOS,3,56.0,7.0,13540.0,4.13589364844904,0.51698670605613,12.5
150103,LIMA,LIMA,ATE,2,2135.0,7.0,272993.0,7.820713351624401,0.02564168312008,0.32786885245901637
160101,LORETO,MAYNAS,IQUITOS,3,396.0,7.0,31876.0,12.42313966620655,0.2196009536955703,1.7676767676767675
130104,LA LIBERTAD,TRUJILLO,HUANCHACO,3,95.0,7.0,12298.0,7.724833306228655,0.5691982436168483,7.368421052631578
130101,LA LIBERTAD,TRUJILLO,TRUJILLO,3,292.0,7.0,68086.0,4.2886937108950445,0.10281115060364833,2.3972602739726026
150601,LIMA,HUARAL,HUARAL,3,128.0,7.0,20830.0,6.14498319731157,0.3360537686029765,5.46875
200105,PIURA,PIURA,CATACAOS,5,10.0,7.0,2068.0,4.835589941972921,3.3849129593810448,
150108,LIMA,LIMA,CHORRILLOS,3,598.0,7.0,68674.0,8.707807904010252,0.10193086175262836,1.1705685618729096
200115,PIURA,PIURA,VEINTISEIS DE OCTUBRE,4,35.0,7.0,6051.0,5.784167906131217,1.1568335812262438,20.0
150113,LIMA,LIMA,JESÚS MARÍA,5,95.0,7.0,5996.0,15.843895930620414,1.1674449633088726,7.368421052631578
150141,LIMA,LIMA,SURQUILLO,4,78.0,7.0,7334.0,10.635396782110716,0.9544586855740388,8.974358974358974
110101,ICA,ICA,ICA,3,180.0,7.0,31679.0,5.681997537801067,0.22096657091448593,3.888888888888889
150112,LIMA,LIMA,INDEPENDENCIA,4,101.0,7.0,10180.0,9.921414538310412,0.68762278978389,6.9306930693069315
150140,LIMA,LIMA,SANTIAGO DE SURCO,4,126.0,7.0,27385.0,4.601058973890816,0.25561438743837867,5.555555555555555
150108,LIMA,LIMA,CHORRILLOS,5,82.0,6.0,11339.0,7.231678278507805,0.5291471911103273,7.317073170731707
130101,LA LIBERTAD,TRUJILLO,TRUJILLO,5,25.0,6.0,16087.0,1.5540498539193137,0.3729719649406353,
21808,ÁNCASH,SANTA,SANTA,5,9.0,6.0,612.0,14.705882352941176,9.803921568627452,
150121,LIMA,LIMA,PUEBLO LIBRE,3,195.0,6.0,21826.0,8.934298543022084,0.2749014936314487,3.076923076923077
150140,LIMA,LIMA,SANTIAGO DE SURCO,3,612.0,6.0,93379.0,6.553936109831975,0.06425427558658799,0.9803921568627451
150125,LIMA,LIMA,PUENTE PIEDRA,3,396.0,6.0,58191.0,6.8051760581533225,0.10310872815383823,1.5151515151515151
150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO,2,3057.0,6.0,494318.0,6.184278136745982,0.012137935499010759,0.19627085377821393
150142,LIMA,LIMA,VILLA EL SALVADOR,5,134.0,6.0,9069.0,14.7756092182159,0.6615944426066821,4.477611940298507
140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,5,26.0,6.0,3029.0,8.583690987124463,1.9808517662594918,
110101,ICA,ICA,ICA,4,40.0,6.0,8663.0,4.617338104582708,0.6926007156874062,15.0
250101,UCAYALI,CORONEL PORTILLO,CALLERIA,5,57.0,6.0,3936.0,14.481707317073171,1.524390243902439,10.526315789473683
150125,LIMA,LIMA,PUENTE PIEDRA,4,63.0,6.0,10429.0,6.040847636398505,0.5753188225141432,9.523809523809524
21808,ÁNCASH,SANTA,SANTA,3,61.0,5.0,3928.0,15.529531568228107,1.2729124236252547,8.19672131147541
40112,AREQUIPA,AREQUIPA,PAUCARPATA,3,54.0,5.0,26052.0,2.0727775218793183,0.1919238446184554,9.25925925925926
200401,PIURA,MORROPÓN,CHULUCANAS,3,26.0,5.0,16120.0,1.6129032258064515,0.31017369727047145,
130101,LA LIBERTAD,TRUJILLO,TRUJILLO,4,46.0,5.0,21319.0,2.1576997044889534,0.23453257657488624,10.869565217391305
140118,LAMBAYEQUE,CHICLAYO,POMALCA,4,8.0,5.0,1355.0,5.904059040590406,3.6900369003690034,
200602,PIURA,SULLANA,BELLAVISTA,3,34.0,5.0,7243.0,4.694187491370979,0.690321689907497,14.705882352941178
150108,LIMA,LIMA,CHORRILLOS,4,122.0,5.0,16940.0,7.201889020070839,0.29515938606847697,4.098360655737705
200104,PIURA,PIURA,CASTILLA,2,321.0,5.0,67170.0,4.778919160339438,0.07443799315170463,1.557632398753894
160112,LORETO,MAYNAS,BELÉN,3,82.0,5.0,11145.0,7.357559443696725,0.44863167339614174,6.097560975609756
140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,2,764.0,5.0,105156.0,7.265396173304424,0.047548404275552514,0.6544502617801047
150111,LIMA,LIMA,EL AGUSTINO,5,185.0,5.0,6148.0,30.091086532205594,0.8132726089785296,2.7027027027027026
150112,LIMA,LIMA,INDEPENDENCIA,5,69.0,5.0,9210.0,7.49185667752443,0.5428881650380022,7.246376811594203
150113,LIMA,LIMA,JESÚS MARÍA,4,106.0,5.0,6547.0,16.19062165877501,0.763708568810142,4.716981132075472
150114,LIMA,LIMA,LA MOLINA,5,34.0,5.0,8326.0,4.083593562334855,0.6005284650492434,14.705882352941178
150115,LIMA,LIMA,LA VICTORIA,3,895.0,5.0,39463.0,22.67947191039708,0.1267009603932798,0.5586592178770949
110101,ICA,ICA,ICA,5,25.0,5.0,6827.0,3.6619305697963966,0.7323861139592793,
150115,LIMA,LIMA,LA VICTORIA,5,187.0,5.0,9726.0,19.226814723421754,0.5140859551717047,2.6737967914438503
150137,LIMA,LIMA,SANTA ANITA,4,201.0,5.0,9831.0,20.445529447665546,0.5085952598921778,2.4875621890547266
160101,LORETO,MAYNAS,IQUITOS,4,64.0,5.0,9119.0,7.018313411558285,0.548305735277991,7.8125
130401,LA LIBERTAD,CHEPÉN,CHEPEN,5,17.0,4.0,2155.0,7.888631090487239,1.8561484918793503,
150142,LIMA,LIMA,VILLA EL SALVADOR,4,249.0,4.0,19267.0,12.923651839933566,0.20760886489853117,1.6064257028112447
200601,PIURA,SULLANA,SULLANA,2,243.0,4.0,67210.0,3.6155334027674453,0.059514953131974406,1.646090534979424
150142,LIMA,LIMA,VILLA EL SALVADOR,3,1006.0,4.0,76658.0,13.123222625166324,0.052179811630880014,0.3976143141153081
140103,LAMBAYEQUE,CHICLAYO,ETEN,5,5.0,4.0,522.0,9.578544061302681,7.662835249042145,
150141,LIMA,LIMA,SURQUILLO,5,52.0,4.0,5787.0,8.985657508208053,0.6912044237083118,7.6923076923076925
240101,TUMBES,TUMBES,TUMBES,4,31.0,4.0,4075.0,7.607361963190184,0.98159509202454,12.903225806451612
140120,LAMBAYEQUE,CHICLAYO,TUMAN,4,8.0,4.0,1733.0,4.616272360069244,2.308136180034622,
240101,TUMBES,TUMBES,TUMBES,5,8.0,4.0,2594.0,3.0840400925212026,1.5420200462606013,
150136,LIMA,LIMA,SAN MIGUEL,5,125.0,4.0,9452.0,13.224714346170122,0.4231908590774439,3.2
140120,LAMBAYEQUE,CHICLAYO,TUMAN,3,39.0,4.0,6713.0,5.809623119320721,0.5958587814687919,10.256410256410255
150605,LIMA,HUARAL,CHANCAY,3,74.0,4.0,11471.0,6.45105047511115,0.3487054310870892,5.405405405405405
150601,LIMA,HUARAL,HUARAL,4,18.0,4.0,5275.0,3.4123222748815167,0.7582938388625592,
140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,4,30.0,4.0,3062.0,9.797517962116263,1.3063357282821686,
140311,LAMBAYEQUE,LAMBAYEQUE,SAN JOSÉ,3,10.0,4.0,2425.0,4.123711340206186,1.6494845360824744,
150121,LIMA,LIMA,PUEBLO LIBRE,5,95.0,4.0,6615.0,14.36130007558579,0.6046863189720333,4.2105263157894735
150121,LIMA,LIMA,PUEBLO LIBRE,4,60.0,4.0,6962.0,8.618213157138753,0.5745475438092502,6.666666666666667
150117,LIMA,LIMA,LOS OLIVOS,5,56.0,4.0,11427.0,4.900673842653365,0.3500481316180975,7.142857142857142
150117,LIMA,LIMA,LOS OLIVOS,2,991.0,4.0,147412.0,6.7226548720592625,0.027134832985102976,0.4036326942482341
